objectid,unidade_id,cnes,r_social,nome_fanta,logradouro,numero,num,complement,cod_cep,telefone,fax,e_mail,tp_class,datasus,tp_und_sap,x,y,cod_bairro,flg_ativo,cd_gestao,cd_tp_unidade,globalid,lon,lat
109,3304552296594,2296594,Ufrj Instituto de Ginecologia,Ufrj Instituto de Ginecologia,Rua Moncorvo Filho,90,90, ,20211340,(21)22322970,(21)22521379,gabinete@gineco.ufrj.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=2296594,,685567.55452651,7465461.483344221,5.0,1,2,9.0,{29237F57-0F06-45D7-A516-56F9FDFBD4AD},-43.192091359720635,-22.909409587419102
110,3304552269880,2269880,Ms Hgb Hospital Geral de Bonsucesso,Ms Hospital Geral de Bonsucesso,Avn Londres,616,616,PREDIO 4 5ª ANDAR DG,21041030,(21)39779502,(21)39779884,acs@hgb.rj.saude.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=2269880,,679712.23333705,7470244.786676681,40.0,1,2,10.0,{2AB99DC5-56F4-487A-84EA-88D2C51B1AD3},-43.248923406332345,-22.866565757967383
111, ,2271303,SEAP CGSP RJ AMB. PENITENCIARIA DR SERRANO NEVES A, ,ESTRADA GENERAL EMILIO MAURELL FILHO,S/N, , , , , , , , , ,,,,1,1,,{B30FBA59-5D2D-41EB-A71B-C83143F4AA77},-43.483502117162914,-22.84245748226104
112,3304552295415,2295415,Hospital Universitario Gaffree e Guinle,Hospital Universitario Gaffree e Guinle,Rua Mariz e Barros,775,775, ,20270004,(21)22645317,(21)22645366,hugg@unirio.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=2295415,,682614.69001176,7464734.02999954,33.0,1,2,10.0,{151DF989-985D-4192-8A51-3E6F3630BFED},-43.22115379109593,-22.91603660052786
113,3304553796302,3796302,Instituto de Biologia do Exercito,Instituto de Biologia do Exercito - Ibex,Rua Francisco Manuel,102,102, ,20911270,3890-2135,3890-2135 RAMAL 200,gabdir.ibex@gmail.com,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=3796302,,680348.69999365,7467153.2850098,12.0,1,2,19.0,{E622F414-C09F-4413-ABE1-F561D5E85692},-43.24156594894577,-22.893727134977976
114,3304555955645,5955645,Sesdec Rj Upa 24h Bangu,Sesdec Rj Upa 24h Bangu,Rua Figueiredo Camargo,S/N,S/N, ,21870210,24195816,2124195657,upa4_bangu@saude.rj.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=5955645,,658037.1332848701,7469678.62370015,141.0,1,1,15.0,{E8BBC588-285A-4D94-A804-170C4DD609D1},-43.45978984080329,-22.871369384615623
115,3304556811000,6811000,Ministerio Publico Da Uniao,Procuradoria Da Rep No Est Rio de Janeiro Clinica Medica,Avn Nilo Pecanha,31,31,SALAS 401 A 404,20020100,39719432, ,setorsaude@prrj.mpf.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=6811000,,687073.2087679099,7465795.20273653,5.0,1,2,8.0,{619FC140-D60C-44C3-8C3B-5F96828C8E09},-43.1748218222348,-22.906712770745543
116,3304555955629,5955629,Sesdec Rj Upa 24h Iraja,Sesdec Rj Upa 24h Iraja,Avn Monsenhor Felix,380,380, ,21235110,24816010,24816174,upa2_iraja@saude.rj.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=5955629,,671792.03169768,7472112.33451842,76.0,1,1,15.0,{71C49966-E26E-49A2-B348-12832CA12192},-43.32528745604555,-22.84953596721259
117, ,4046382,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO, ,AV. MARECHAL RONDON,381, , , , , , , , , ,,,,1,1,,{61FFAC8E-ACBF-4AB5-BC98-E41DD102B9B0},-43.24420796944441,-22.905777274231074
118,3304555955661,5955661,Sesdec Rj Upa 24 H Tijuca,Sesdec Rj Upa 24h Tijuca,Rua Conde de Bonfim,S/N,S/N, ,20520054,25658388, ,upa7_tijuca@saude .rj.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=5955661,,681576.1832267899,7464017.59505488,33.0,1,1,15.0,{1FEC426A-F671-4E6E-B0FB-6E87229D5865},-43.23059145235264,-22.922974968660895
119,3304552280132,2280132,Ms Inc Instituto Nacional de Cardiologia,Ms Inc Instituto Nacional de Cardiologia,Rua das Laranjeiras,374,374,2 ANDAR,22240006,(21)25560815,(21)25560815, ,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=2280132,,685593.97500653,7462280.028333261,17.0,1,2,9.0,{E6ED770C-F9C5-4201-A4C2-31D88AA7118E},-43.190346552758534,-22.936746100738777
120, ,2270730,SEAP CGSP RJ HOSP PENAL FABIO SOARES MACIEL, ,ESTRADA GENERAL EMILIO MAURELL FILHO,1100, , , , , , , , , ,,,,1,1,,{D0B9408A-D488-44E6-BD9F-120CA6FFDFAA},-43.483502117162914,-22.84245748226104
121, ,2270722,SEAP CGSP RJ HOSP DE CUST E TRAT PSIQUIAT HEITOR CARRILHO, ,RUA FREI CANECA,401, , , , , , , , , ,,,,1,1,,{21AC66A1-0F96-42AC-BB95-A9F1CE3B33CC},-43.20007172292804,-22.914823561935677
122,3304556407412,6407412,Centro de Estudos de Saude do Trabalhador e Ecologia Humana,Centro de Estudos de Saude do Trabalhador e Ecologia Humana,Rua Leopoldo Bulhoes,1480,1480,PREDIO 1 DE MAIO,21041210,2598-2681,2270-3219,cestehc@ensp.fiocruz.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=6407412,,679485.03999284,7468893.25998742,39.0,1,2,7.0,{82F3A063-FA6B-44BE-B8F2-8EE3F9EF168F},-43.250698078188044,-22.87823156212465
123,3304552270803,2270803,Fund Francisco Arduino Iede Inst Est Diabet e Endocrinologia,Sesdec Inst de De Diabetes e Endocrinol Iede,Rua Moncorvo Filho,90,90, ,20211340,(21) 23327154,(21) 23327153,diretor.iede@saude.rj.gov.br,SADT,http://cnes.datasus.gov.br/Lista_Es_Nome.asp?Vcodigo=2270803,,685567.55452651,7465461.483344221,5.0,1,1,9.0,{0B749BD5-5BA8-4C62-969A-70659F70E275},-43.192091359720635,-22.909409587419102
124, ,3069699,SEAP CGSP RJ AMB INST PENAL OSCAR STEVENSON, ,RUA CELIO NASCIMENTO,1, , , , , , , , , ,,,,1,1,,{8380F3FE-BDFD-4726-B312-13446898861B},-43.23624874584866,-22.889088210346955
125, ,2271362,SEAP CGSP RJ AMB. PENITENCIARIA ALFREDO TRANJAN, ,ESTRADA GENERAL EMILIO MAURELL FILHO,S/N, , , , , , , , , ,,,,1,1,,{E3F60A30-AF7F-4230-920C-06D9181E841C},-43.483502117162914,-22.84245748226104
